name,minutes_played,goals,assists,passes_total,passes_success,shots_total,shots_on_target,duels_total,duels_won,ball_losses,recoveries,is_pro,activity_score
Max Kilman,1980,,,57.8,47.8,,0.0,1.09,0.59,,5.32,1,53.71
Lars Stindl,1629,,,45.1,37.1,,0.77,1.27,0.77,,7.35,1,45.22
Diego Valencia,175,,,30.5,22.1,,0.53,3.16,2.11,,4.21,0,28.42
Remi Oudin,1737,,,35.3,22.8,,0.83,1.87,1.14,,7.67,0,31.61
Alfre? Finnbogason,292,,,22.2,13.4,,1.25,0.63,0.0,,6.25,0,19.65
Ronald Araújo,859,,,65.5,58.1,,0.0,1.37,0.95,,3.68,1,62.73
Hassane Kamara,544,,,49.5,40.0,,0.17,2.83,1.5,,6.67,1,48.17
David Okereke,1444,,,20.4,13.8,,0.69,0.44,0.31,,1.94,0,16.05
Luke Ayling,2272,,,61.8,48.3,,0.12,3.13,1.79,,10.4,1,60.49
Saidou Sow,989,,,52.2,43.6,,0.18,2.45,1.36,,10.4,1,55.36
Rubén Sobrino,14,,,5.0,5.0,,0.0,5.0,0.0,,0.0,0,5.0
Taiwo Awoniyi,730,,,15.3,11.1,,0.99,1.23,0.99,,4.07,0,16.16
Kevin Mbabu,144,,,58.8,42.5,,0.0,1.88,1.25,,3.75,1,47.5
Tim Lemperle,149,,,35.9,23.5,,1.76,2.94,2.35,,8.82,0,34.67
Yeray Álvarez,1565,,,54.1,44.3,,0.06,1.21,0.8,,7.07,1,52.17
Bebé,867,,,35.6,22.0,,0.73,1.04,0.52,,6.88,0,29.4
Karim Benzema,2593,,,43.4,36.7,,1.63,0.38,0.17,,3.13,1,40.0
Salvatore Esposito,190,,,64.8,50.0,,0.0,0.95,0.95,,8.57,1,59.52
Gonçalo Guedes,707,,,25.4,17.5,,0.76,1.01,0.76,,4.3,0,22.56
Yerry Mina,234,,,66.9,60.0,,0.77,3.46,1.54,,4.62,1,66.16
Ivan Perii?,1420,,,48.0,31.1,,0.19,1.77,0.89,,5.0,0,36.99
Jonathan Gradit,1412,,,70.7,64.2,,0.06,1.72,1.15,,4.52,1,69.87
Wataru Endo,2899,,,48.6,39.8,,0.5,2.3,1.3,,11.1,1,52.2
Raúl Guti,1627,,,43.5,36.5,,0.28,1.44,0.83,,7.9,1,45.23
Alexander Sørloth,1276,,,18.8,13.2,,1.27,0.56,0.21,,2.54,0,15.95
Szymon ?urkowski,32,,,47.5,42.5,,2.5,0.0,0.0,,5.0,1,47.5
Mouctar Diakhaby,1948,,,32.4,25.1,,0.05,2.13,1.48,,9.72,0,36.3
Nadir Zortea,90,,,67.0,59.0,,1.0,2.0,2.0,,7.0,1,68.0
Daniel Bessa,768,,,56.7,45.8,,0.24,1.65,1.29,,10.9,1,57.99
Abdul Majeed Waris,327,,,36.4,27.2,,0.83,1.11,0.83,,6.39,0,34.42
Danny Latza,441,,,44.3,35.1,,0.0,2.04,1.63,,8.57,1,45.3
Eric Bailly,217,,,33.3,26.7,,0.0,3.33,1.25,,9.58,0,37.53
Nathan N'Goumou,90,,,30.0,25.0,,0.0,3.0,2.0,,6.0,0,33.0
Robin Gosens,169,,,58.9,47.4,,0.53,1.58,1.05,,10.0,1,58.45
Sergio Agüero,151,,,25.3,18.2,,0.59,0.59,0.59,,1.76,0,20.55
Anwar El Ghazi,386,,,26.7,19.1,,0.47,0.7,0.7,,6.28,0,26.08
Calum Chambers,110,,,69.2,57.5,,0.0,1.67,1.67,,7.5,1,66.67
Tanguy Ndombele,701,,,66.7,59.2,,0.0,3.08,2.44,,9.36,1,71.0
