name,minutes_played,goals,assists,passes_total,passes_success,shots_total,shots_on_target,duels_total,duels_won,ball_losses,recoveries,is_pro,activity_score
João Moutinho,2970,,,60.1,50.6,,0.21,2.3,1.64,,10.8,1,63.04
Andriy Lunin,180,,,41.0,36.0,,0.0,0.0,0.0,,3.0,0,39.0
Andrés Martín,133,,,34.0,14.0,,1.33,2.0,1.33,,5.33,0,20.66
Vitinha,52,,,35.0,30.0,,0.0,3.33,3.33,,5.0,0,38.33
Emre Can,1690,,,75.7,64.5,,0.11,2.61,1.91,,11.9,1,78.31
Tino Kadewere,506,,,29.8,24.3,,1.25,1.96,1.25,,4.64,0,30.19
Marc-André ter Stegen,1800,,,37.8,32.0,,0.0,0.0,0.0,,1.8,0,33.8
Miguel Veloso,845,,,46.4,33.3,,0.21,2.13,0.43,,9.04,1,42.77
Manu Vallejo,98,,,40.0,28.2,,0.91,2.73,1.82,,6.36,0,36.38
João Cancelo,1274,,,85.9,73.0,,0.21,2.04,1.48,,5.63,1,80.11
Rúben Neves,1890,,,62.2,51.4,,0.38,2.48,1.19,,7.14,1,59.73
Rodrigo,1296,,,27.1,19.0,,1.32,0.69,0.28,,2.57,0,21.85
Jesús Vallejo,341,,,55.8,48.2,,0.0,2.11,1.84,,7.37,1,57.41
Roberto González,135,,,26.0,20.0,,0.0,2.67,1.33,,2.67,0,24.0
Chris Smalling,2091,,,44.7,40.0,,0.13,1.59,0.95,,8.97,1,49.92
Stefan Bell,1140,,,49.1,38.1,,0.0,1.34,0.94,,7.87,1,46.91
Vedat Muriqi,1654,,,25.8,14.8,,0.82,0.38,0.22,,3.1,0,18.12
Nicolò Fagioli,567,,,41.1,34.3,,0.63,1.59,0.63,,7.3,1,42.23
Antonio Raillo,1800,,,36.6,31.4,,0.15,1.2,0.8,,4.25,0,36.45
Gonzalo Montiel,1066,,,59.7,46.4,,0.08,1.1,0.34,,8.73,1,55.47
Monchu,668,,,46.5,38.4,,0.14,1.49,1.08,,11.1,1,50.58
Nacho Vidal,2902,,,47.5,34.2,,0.06,2.36,1.34,,9.44,1,44.98
Billy Gilmour,1855,,,58.3,46.5,,0.15,2.33,1.07,,8.59,1,56.16
Kévin Keben Biakolo,304,,,35.3,28.2,,0.0,0.88,0.59,,6.47,0,35.26
Faitout Maouassa,1191,,,35.3,24.2,,0.38,2.42,1.59,,4.24,0,30.03
Julen Agirrezabala,360,,,20.5,15.3,,0.0,0.0,0.0,,3.75,0,19.05
Jérémy Le Douaron,1446,,,19.6,12.7,,0.99,0.62,0.5,,5.4,0,18.6
Dominik Kohr,1410,,,47.3,34.0,,0.19,2.36,1.34,,8.15,1,43.49
Lucas Digne,1170,,,52.2,37.5,,0.08,2.69,1.31,,10.6,1,49.41
Ellis Simms,61,,,21.4,11.4,,0.0,0.0,0.0,,4.29,0,15.69
Paul Lasne,847,,,45.1,37.9,,0.11,2.45,1.06,,8.09,1,47.05
Eliot Matazo,790,,,44.1,39.1,,0.11,1.48,1.25,,8.52,1,48.87
Sasa Kalajdzic,233,,,24.2,15.4,,0.38,1.15,0.77,,0.77,0,16.94
Santiago Arzamendia,469,,,32.7,21.0,,0.19,2.69,2.31,,8.46,0,31.77
Matt Ritchie,4,,,3.0,2.0,,0.0,0.0,0.0,,1.0,0,3.0
Lucas Ocampos,283,,,41.6,34.5,,0.65,1.94,0.65,,5.81,1,40.96
Lee Kangin,1411,,,37.5,27.0,,0.83,0.76,0.45,,5.86,0,33.31
Denis Zakaria,123,,,27.1,22.9,,0.0,4.29,2.14,,3.57,0,28.61
Josh Brownhill,2955,,,36.3,27.4,,0.27,2.23,1.25,,11.1,1,39.75
Eduardo Camavinga,1191,,,63.7,57.4,,0.38,3.79,2.42,,8.18,1,68.0
Mattia Caldara,969,,,42.4,32.7,,0.19,1.76,1.02,,6.57,1,40.29
Lucas Pérez,1060,,,32.0,23.4,,0.42,0.51,0.42,,4.66,0,28.48
Arkadiusz Milik,986,,,25.4,19.8,,1.45,0.64,0.45,,2.36,0,22.61
Ryan Gravenberch,251,,,60.0,50.7,,0.36,2.5,1.43,,9.29,1,61.42
Ivan Toney,1789,,,24.9,14.6,,1.01,0.8,0.5,,2.96,0,18.06
Maximilian Philipp,20,,,15.0,10.0,,0.0,0.0,0.0,,0.0,0,10.0
Romain Del Castillo,610,,,44.1,28.8,,1.03,2.79,2.06,,5.88,0,36.74
Samuele Ricci,1197,,,52.6,46.7,,0.3,1.13,0.53,,6.32,1,53.55
Adrien Rabiot,2285,,,41.0,33.9,,0.28,2.91,2.13,,8.46,1,44.49
Jordan Henderson,919,,,74.4,60.7,,0.29,1.27,0.78,,7.45,1,68.93
Ollie Watkins,2952,,,21.0,15.0,,0.95,0.52,0.43,,3.17,0,18.6
Paul Wanner,39,,,42.5,35.0,,0.0,5.0,5.0,,0.0,1,40.0
Marley Aké,77,,,18.9,14.4,,0.0,0.0,0.0,,4.44,0,18.84
Coke,118,,,51.5,43.1,,0.77,3.08,2.31,,11.5,1,56.91
Sofiane Diop,1948,,,45.4,33.6,,0.56,1.67,0.93,,6.85,1,41.38
Diego González,726,,,38.8,31.0,,0.0,1.23,0.74,,4.2,0,35.94
Abdou Diallo,436,,,71.9,61.7,,0.21,1.25,1.04,,7.08,1,69.82
Alexis Mac Allister,2123,,,45.8,37.2,,0.38,3.09,2.16,,10.4,1,49.76
Emi Buendía,1899,,,41.5,33.0,,0.66,2.46,1.47,,8.15,1,42.62
Oihan Sancet,1415,,,34.4,28.5,,0.7,0.96,0.51,,5.61,0,34.62
Keidi Bare,1481,,,52.8,45.5,,0.06,2.0,1.21,,9.94,1,56.65
Giacomo Quagliata,493,,,45.3,27.8,,0.18,1.45,1.27,,7.82,0,36.89
Asier Illarramendi,374,,,67.1,59.8,,0.0,2.38,1.9,,9.52,1,71.22
Roberto Piccoli,218,,,21.3,12.5,,0.0,0.42,0.42,,3.33,0,16.25
Ciro Immobile,1187,,,25.8,18.5,,1.21,0.45,0.23,,2.73,0,21.46
Stefano Sturaro,1766,,,30.3,19.3,,0.0,2.7,1.89,,10.4,0,31.59
Danny Welbeck,1142,,,17.5,14.4,,0.94,0.71,0.39,,1.26,0,16.05
Mathias Jørgensen,518,,,57.2,42.6,,0.17,1.9,0.34,,11.4,1,54.34
Kaan Ayhan,545,,,54.4,47.2,,0.16,1.64,0.66,,4.59,1,52.45
Federico Valverde,1833,,,58.3,51.1,,0.44,1.62,1.03,,7.6,1,59.73
Bart?omiej Dr?gowski,1752,,,33.4,22.4,,0.0,0.0,0.0,,1.64,0,24.04
Víctor Ruiz,362,,,46.0,37.8,,0.0,0.25,0.0,,4.75,1,42.55
Lorenzo Pellegrini,1610,,,40.8,30.3,,0.56,1.79,0.95,,4.58,0,35.83
Daley Blind,37,,,52.5,50.0,,2.5,0.0,0.0,,5.0,1,55.0
Petar Zovko,29,,,33.3,23.3,,0.0,0.0,0.0,,3.33,0,26.63
Mattia Zaccagni,1876,,,35.9,29.3,,0.48,1.63,1.11,,4.04,0,34.45
Mohamed Simakan,2009,,,61.5,54.1,,0.13,2.02,1.08,,11.2,1,66.38
José Fonte,1589,,,66.0,58.8,,0.11,1.07,0.79,,4.58,1,64.17
Florent Mollet,155,,,47.6,35.9,,0.0,1.18,0.59,,3.53,1,40.02
Axel Gueguin,14,,,45.0,30.0,,0.0,0.0,0.0,,5.0,0,35.0
Moritz Jenz,1381,,,44.7,38.3,,0.07,2.16,1.11,,6.8,1,46.21
Loïc Bade,448,,,76.8,68.8,,0.0,1.4,1.2,,7.6,1,77.6
Omar Marmoush,790,,,28.9,18.3,,1.02,1.14,0.8,,5.8,0,24.9
Mateusz Klich,2073,,,43.7,34.2,,0.78,2.13,1.13,,9.83,1,45.16
Marius Wolf,1321,,,50.1,39.0,,0.68,1.5,0.82,,6.46,1,46.28
Demarai Gray,1679,,,33.8,23.1,,0.75,0.86,0.7,,3.69,0,27.49
Julian Ryerson,1037,,,43.6,30.4,,0.43,2.43,1.48,,6.7,0,38.58
Romano Schmid,943,,,44.7,33.1,,0.0,1.71,1.24,,5.9,1,40.24
Haris Belkebla,2310,,,39.2,33.0,,0.04,2.18,1.25,,9.07,1,43.32
Romain Saïss,2705,,,57.1,47.0,,0.2,1.99,1.26,,8.64,1,56.9
Yeremi Pino,1115,,,30.0,21.8,,0.73,2.42,1.69,,4.52,0,28.01
André Silva,1198,,,26.4,19.2,,1.28,0.45,0.08,,2.48,0,21.76
Kike Barja,865,,,39.8,27.4,,0.63,1.67,0.73,,7.19,0,35.32
Ondrej Duda,1611,,,38.0,28.3,,0.84,1.23,1.01,,8.94,0,38.25
Mickey van de Ven,189,,,39.5,31.0,,0.0,2.86,1.43,,7.62,1,40.05
Samuele Vignato,18,,,65.0,55.0,,0.0,0.0,0.0,,5.0,1,60.0
Marco Sportiello,450,,,26.4,20.2,,0.0,0.0,0.0,,5.6,0,25.8
Ibrahima Diallo,714,,,41.0,31.5,,0.0,2.28,1.27,,8.86,1,41.63
Nikola Kalini?,406,,,22.7,18.9,,0.89,0.44,0.22,,2.22,0,21.34
Dimitri Payet,2592,,,58.3,43.8,,0.66,0.56,0.38,,3.82,1,48.0
Mohamed Bayo,2413,,,20.3,14.9,,0.97,0.52,0.3,,3.54,0,18.74
Cyriel Dessers,1204,,,15.9,10.1,,0.6,0.52,0.07,,1.49,0,11.66
Mads Pedersen,1031,,,34.1,23.0,,0.0,2.17,1.04,,5.65,0,29.69
Anthony Lopes,2982,,,34.0,28.6,,0.0,0.0,0.0,,4.23,0,32.83
Alejandro Primo,90,,,26.0,21.0,,0.0,0.0,0.0,,1.0,0,22.0
Eren Dinkçi,132,,,26.0,14.7,,0.0,2.0,2.0,,2.67,0,19.37
Fabiano Parisi,1477,,,48.3,36.5,,0.3,2.44,1.59,,10.1,1,48.19
Álvaro Fernández,1080,,,41.7,26.8,,0.0,0.0,0.0,,5.67,0,32.47
Irvin Cardona,53,,,16.7,8.33,,0.0,0.0,0.0,,1.67,0,10.0
Nicolas Höfler,2600,,,41.8,35.2,,0.35,2.7,1.87,,12.2,1,49.27
Arturo Vidal,741,,,71.1,62.6,,1.1,4.27,2.44,,10.1,1,75.14
Elseid Hysaj,2027,,,62.9,54.8,,0.09,1.91,1.07,,7.78,1,63.65
Nehuén Pérez,1692,,,41.0,32.0,,0.05,2.82,1.38,,8.3,1,41.68
Enzo Crivelli,102,,,20.9,15.5,,0.91,0.91,0.91,,2.73,0,19.14
Yoann Cathline,547,,,25.2,16.2,,1.15,1.48,0.82,,4.75,0,21.77
Jack Stacey,297,,,38.2,21.8,,0.0,1.52,1.21,,4.55,0,27.56
Juan Cabal,57,,,45.0,30.0,,0.0,1.67,1.67,,15.0,1,46.67
Wout Weghorst,274,,,20.7,14.0,,0.33,0.67,0.33,,4.0,0,18.33
Stephan El Shaarawy,709,,,55.3,44.6,,1.14,1.14,0.51,,5.57,1,50.68
Pablo Sarabia,22,,,100.0,65.0,,5.0,0.0,0.0,,0.0,1,65.0
Armando Izzo,1106,,,58.7,49.9,,0.08,3.58,2.36,,5.53,1,57.79
Reece Oxford,2693,,,37.9,30.9,,0.13,1.14,0.7,,9.1,1,40.7
Sanjin Prci?,2186,,,58.0,49.3,,0.45,2.22,1.44,,11.1,1,61.84
Amir Rrahmani,1206,,,77.5,70.2,,0.07,1.64,1.04,,5.75,1,76.99
Hrvoje Smol?i?,291,,,62.2,48.8,,0.0,2.19,1.88,,5.31,1,55.99
Luigi Samele,5,,,30.0,20.0,,0.0,0.0,0.0,,20.0,1,40.0
Aimar Oroz,975,,,34.4,26.4,,0.37,1.2,0.56,,4.44,0,31.4
Kostas Stafylidis,507,,,39.3,29.8,,0.0,3.57,1.96,,6.61,0,38.37
Luan Peres Petroni,2679,,,65.5,58.2,,0.0,2.42,0.91,,7.35,1,66.46
Lago Junior,177,,,24.0,13.5,,0.5,1.5,1.5,,4.5,0,19.5
Josip Ili?i?,841,,,53.3,39.8,,0.75,1.29,0.97,,6.13,1,46.9
Mário Rui,1359,,,88.6,72.1,,0.13,1.66,0.99,,7.48,1,80.57
Fernando Niño,884,,,21.3,14.9,,1.33,1.12,0.51,,4.08,0,19.49
Marash Kumbulla,134,,,54.0,50.7,,0.0,0.67,0.67,,4.67,1,56.04
Jon Morcillo,54,,,56.7,33.3,,0.0,0.0,0.0,,18.3,1,51.6
Jorge Cuenca,2683,,,35.9,25.1,,0.2,1.81,0.87,,9.5,0,35.47
Lorenzo De Silvestri,2294,,,52.8,39.2,,0.24,1.14,0.51,,7.18,1,46.89
Théo Le Bris,956,,,34.9,27.8,,0.38,1.79,1.23,,4.53,0,33.56
Billy Gilmour,163,,,85.6,78.9,,0.0,0.56,0.0,,4.44,1,83.34
Baptiste Santamaria,776,,,71.5,61.9,,0.58,2.79,1.51,,8.84,1,72.25
Brice Samba,1980,,,32.9,25.6,,0.0,0.05,0.0,,1.41,0,27.01
Jaïro Riedewald,118,,,41.5,34.6,,0.0,1.54,1.54,,9.23,1,45.37
Emmanuel Dennis,408,,,24.7,17.1,,0.44,1.56,1.11,,4.0,0,22.21
Simeon Nwankwo,842,,,19.8,14.6,,0.64,0.64,0.43,,3.3,0,18.33
Felix Kalu Nmecha,863,,,30.1,21.8,,0.73,1.77,1.04,,5.0,0,27.84
Samuel Umtiti,943,,,38.0,31.0,,0.0,2.67,1.52,,7.05,0,39.57
Marc-Oliver Kempf,1051,,,37.3,27.0,,0.09,1.54,1.28,,9.66,0,37.94
Reinier,313,,,33.1,26.6,,0.57,1.71,1.14,,4.0,0,31.74
James Maddison,1273,,,45.9,35.3,,1.06,1.84,0.78,,3.12,0,39.2
Rubén,150,,,41.2,27.1,,0.0,2.35,0.59,,5.29,0,32.98
Alfonso Espino,1772,,,42.7,27.5,,0.05,2.74,1.62,,6.24,0,35.36
Guglielmo Vicario,3420,,,34.8,27.2,,0.0,0.0,0.0,,4.42,0,31.62
Benoît Costil,2250,,,36.0,24.9,,0.0,0.0,0.0,,4.8,0,29.7
Cala,137,,,25.3,20.0,,0.0,1.33,0.67,,2.0,0,22.67
Kenedy,58,,,81.7,63.3,,0.0,5.0,3.33,,8.33,1,74.96
Hannes Wolf,307,,,30.9,21.8,,0.59,5.88,2.94,,8.82,0,33.56
El Chadaille Bitshiabu,5,,,60.0,60.0,,0.0,0.0,0.0,,0.0,1,60.0
Lucas Paquetá,2699,,,53.3,42.5,,1.1,2.93,2.03,,7.83,1,52.36
Melvin Bard,2589,,,64.8,52.7,,0.07,2.29,1.6,,9.31,1,63.61
Toni Kroos,2103,,,96.5,88.7,,0.51,1.88,1.32,,5.81,1,95.83
Ivor Pandur,270,,,22.7,17.3,,0.0,0.0,0.0,,4.0,0,21.3
Michail Antonio,2971,,,21.5,14.1,,0.82,0.85,0.7,,4.18,0,18.98
Yangel Herrera,776,,,37.7,29.3,,0.93,2.56,0.93,,4.19,0,34.42
Amine Harit,1165,,,54.0,47.3,,0.54,2.09,1.71,,5.5,1,54.51
Sean Longstaff,1464,,,37.2,30.1,,0.12,3.13,2.02,,9.57,1,41.69
Philipp Lienhart,1741,,,61.3,52.7,,0.1,1.14,0.67,,5.96,1,59.33
Sergi Guardiola,96,,,29.1,24.5,,1.82,0.91,0.91,,3.64,0,29.05
Wilfred Ndidi,1618,,,51.1,42.1,,0.22,3.89,2.61,,13.8,1,58.51
Serge Aurier,1082,,,49.3,33.6,,0.17,3.25,2.0,,6.58,1,42.18
Kamaldeen Sulemana,326,,,43.1,35.3,,0.83,1.67,0.83,,8.06,1,44.19
Rafael Leão,1524,,,28.2,20.5,,0.95,0.12,0.06,,3.2,0,23.76
Leonardo Sernicola,1355,,,37.0,23.8,,0.26,1.99,1.32,,5.36,0,30.48
Aleksa Terzi?,329,,,83.2,69.2,,0.27,2.16,1.08,,4.59,1,74.87
Antonio Puertas,2261,,,27.5,19.4,,0.56,1.43,0.84,,5.82,0,26.06
Niklas Dorsch,80,,,45.6,32.2,,0.0,7.78,3.33,,12.2,1,47.73
Marc Roca,379,,,70.5,61.0,,0.0,2.38,1.67,,13.8,1,76.47
Sergi Roberto,544,,,71.8,66.0,,0.5,1.33,1.17,,4.67,1,71.84
Joseba Zaldúa,639,,,39.0,26.8,,0.0,2.11,1.13,,3.24,0,31.17
Okay Yokuþlu,140,,,46.9,43.8,,0.0,1.88,1.25,,13.1,1,58.15
Mads Roerslev,1240,,,24.9,16.7,,0.14,1.88,0.65,,5.94,0,23.29
Leo tulac,833,,,52.6,41.3,,0.32,1.94,1.29,,7.1,1,49.69
Genki Haraguchi,498,,,28.9,21.6,,0.18,2.18,1.45,,3.45,0,26.5
Junior Firpo,209,,,47.0,34.3,,0.0,2.61,1.74,,4.35,1,40.39
Bamba Dieng,975,,,18.2,13.4,,1.67,1.67,1.2,,2.87,0,17.47
Bram Nuytinck,485,,,37.8,31.9,,0.0,4.07,2.78,,5.0,1,39.68
Josuha Guilavogui,1331,,,55.4,45.3,,0.2,2.97,1.96,,10.8,1,58.06
Charalambos Lykogiannis,1817,,,37.5,23.5,,0.35,1.29,0.74,,5.59,0,29.83
Nico Elvedi,1485,,,67.1,62.1,,0.3,1.82,0.85,,4.97,1,67.92
Gideon Mensah,1157,,,60.4,48.1,,0.08,3.18,1.63,,9.07,1,58.8
Paulo Dybala,1179,,,42.2,32.8,,0.99,0.69,0.15,,4.27,0,37.22
Anderson Lima,65,,,45.7,35.7,,0.0,5.71,2.86,,4.29,1,42.85
Rodrigo,881,,,42.2,34.7,,0.71,1.02,0.71,,6.22,1,41.63
Alfred Duncan,1931,,,44.2,34.9,,0.14,1.63,1.07,,6.65,1,42.62
Anthony Martial,490,,,29.1,23.7,,0.56,0.74,0.74,,2.59,0,27.03
Christopher Antwi-Adjei,1130,,,20.8,13.0,,0.79,2.14,1.51,,5.56,0,20.07
Seko Fofana,1742,,,53.1,46.8,,0.62,0.77,0.36,,5.52,1,52.68
Marvin Plattenhardt,1221,,,52.2,35.5,,0.07,1.91,1.32,,4.34,1,41.16
Alexander Sørloth,1763,,,23.7,17.2,,0.61,1.28,0.77,,3.72,0,21.69
Sargis Adamyan,471,,,25.0,18.1,,1.73,1.92,1.15,,5.38,0,24.63
Arnaud Nordin,1116,,,24.5,18.0,,0.4,1.05,0.4,,4.6,0,23.0
Donyell Malen,1684,,,28.9,21.4,,1.12,0.86,0.64,,4.6,0,26.64
Adam Armstrong,1413,,,20.1,14.2,,0.89,0.64,0.45,,3.63,0,18.28
Amine Gouiri,226,,,29.6,21.2,,0.8,0.4,0.4,,2.4,0,24.0
Kelechi Iheanacho,1264,,,25.1,19.4,,0.79,1.07,0.64,,4.36,0,24.4
Joko Gvardiol,2409,,,78.4,65.6,,0.26,2.01,1.23,,10.9,1,77.73
Fabien Centonze,1586,,,43.9,35.3,,0.4,2.5,1.53,,7.27,1,44.1
Farid El Melali,14,,,25.0,10.0,,0.0,0.0,0.0,,25.0,0,35.0
Sebastian Rode,759,,,50.5,41.0,,0.24,1.79,1.19,,13.1,1,55.29
Orel Mangala,1853,,,38.6,32.1,,0.39,0.92,0.68,,7.72,1,40.5
Nikita Iosifov,1,,,3.0,1.0,,0.0,0.0,0.0,,0.0,0,1.0
Yoann Salmier,1697,,,47.2,39.9,,0.16,1.43,0.69,,5.19,1,45.78
Ayoze Pérez,445,,,31.6,24.7,,1.22,1.63,1.22,,6.12,0,32.04
Sada Thioub,553,,,45.7,36.2,,0.0,2.13,0.98,,5.41,1,42.59
Jordi Alba,2644,,,94.2,79.5,,0.2,1.5,0.85,,9.18,1,89.53
Romain Faivre,1795,,,43.2,33.5,,0.65,1.61,1.21,,6.08,1,40.79
Sergio Escudero,767,,,44.5,32.4,,0.47,2.59,1.76,,5.53,1,39.69
Djed Spence,7,,,90.0,50.0,,0.0,0.0,0.0,,10.0,1,60.0
Abdul Mumin,193,,,52.9,42.9,,0.48,0.0,0.0,,5.24,1,48.14
Darlin Yongwa,68,,,25.0,13.8,,1.25,2.5,2.5,,7.5,0,23.8
Nathan Collins,1472,,,55.7,49.5,,0.0,1.28,0.67,,4.82,1,54.99
Frederic Guilbert,2516,,,54.7,37.6,,0.18,2.96,1.5,,7.04,1,46.14
Ainsley Maitland-Niles,268,,,45.3,35.0,,0.0,2.33,1.33,,12.3,1,48.63
Gideon Mensah,1208,,,59.3,48.4,,0.0,2.84,1.12,,8.96,1,58.48
Radu Dr?gu?in,620,,,37.4,25.9,,0.0,0.87,0.29,,11.9,0,38.09
Charles Boli,32,,,52.5,42.5,,0.0,7.5,5.0,,0.0,1,47.5
Gauthier Gallon,1350,,,29.8,21.1,,0.0,0.13,0.13,,1.13,0,22.36
Maximilian Philipp,116,,,32.3,20.8,,0.77,1.54,0.77,,2.31,0,23.88
Daniele Montevago,231,,,15.4,8.85,,0.38,0.38,0.0,,1.92,0,10.77
Arnaud Souquet,2334,,,46.5,33.9,,0.15,2.2,1.2,,8.07,1,43.17
Stefan Mitrovi?,2667,,,30.6,24.1,,0.03,0.57,0.27,,9.05,0,33.42
Callum Hudson-Odoi,962,,,36.7,29.3,,0.65,1.21,0.56,,5.14,0,35.0
Giuseppe Pezzella,647,,,52.2,41.1,,0.0,2.36,0.97,,5.42,1,47.49
John Stones,1181,,,80.3,75.6,,0.08,0.92,0.69,,4.81,1,81.1
Alexis Saelemaekers,687,,,37.0,27.9,,0.39,2.5,1.71,,3.29,0,32.9
Noah Fatar,5,,,70.0,40.0,,0.0,0.0,0.0,,10.0,1,50.0
Abdessamad Ezzalzouli,588,,,33.7,22.9,,0.62,2.31,1.54,,3.85,0,28.29
Lewis Hall,304,,,57.4,43.2,,0.59,3.24,0.88,,8.53,1,52.61
Marcos Mauro López Gutiérrez,136,,,14.0,6.67,,0.0,0.67,0.67,,5.33,0,12.67
André Silva,2076,,,24.2,18.0,,1.0,0.61,0.56,,4.63,0,23.19
Pawe? Dawidowicz,745,,,40.8,29.5,,0.24,2.65,1.81,,6.39,0,37.7
Mads Bidstrup,41,,,22.0,16.0,,0.0,8.0,4.0,,12.0,0,32.0
Reinildo Mandava,1298,,,46.4,37.7,,0.0,2.64,1.53,,8.54,1,47.77
Nemanja Gudelj,1046,,,57.7,51.8,,0.17,1.9,1.38,,10.3,1,63.48
Hugo Novoa,136,,,29.3,19.3,,1.33,3.33,1.33,,6.67,0,27.3
Jimmy Briand,226,,,30.4,26.4,,0.8,1.6,0.4,,7.6,0,34.4
Fernando Pacheco,90,,,31.0,20.0,,0.0,0.0,0.0,,0.0,0,20.0
Myrto Uzuni,856,,,22.5,15.5,,0.21,1.37,0.95,,7.79,0,24.24
Arijon Ibrahimovi?,14,,,40.0,35.0,,10.0,5.0,5.0,,5.0,1,45.0
Leandro Cabrera,3330,,,50.0,38.0,,0.16,1.16,0.73,,7.43,1,46.16
Leandro Barreiro Martins,1789,,,27.4,20.1,,0.45,3.57,1.76,,8.69,0,30.55
Oier Zarraga,485,,,40.2,30.7,,0.56,0.93,0.74,,6.67,0,38.11
Charles Traore,228,,,50.4,39.2,,0.0,1.2,0.8,,5.6,1,45.6
Gavin Bazunu,1980,,,36.6,22.2,,0.0,0.05,0.0,,1.23,0,23.43
Berat Djimsiti,623,,,57.7,50.6,,0.0,2.46,1.16,,5.36,1,57.12
Mattia Zaccagni,180,,,37.5,30.0,,1.0,1.5,1.0,,4.0,0,35.0
Alessandro Zanoli,12,,,110.0,90.0,,10.0,10.0,0.0,,0.0,1,90.0
Florian Thauvin,19,,,55.0,10.0,,0.0,0.0,0.0,,5.0,0,15.0
Bilal Brahimi,378,,,43.8,30.7,,0.0,0.24,0.24,,7.38,0,38.32
Orel Mangala,693,,,35.8,28.8,,0.13,1.69,0.91,,5.45,0,35.16
Ki-Jana Hoever,308,,,46.8,33.2,,0.0,4.71,2.94,,6.76,1,42.9
Vincent Le Goff,1980,,,51.3,42.2,,0.23,2.18,1.0,,5.73,1,48.93
Jacob Ramsey,1236,,,36.6,30.3,,0.51,2.85,1.82,,5.26,0,37.38
Andreas Pereira,1904,,,35.6,23.0,,0.52,0.52,0.28,,4.15,0,27.43
Bilal Brahimi,338,,,25.8,18.7,,0.53,0.79,0.26,,4.47,0,23.43
Daniel Podence,1484,,,38.5,28.2,,0.91,1.15,0.55,,5.45,0,34.2
Faride Alidou,123,,,40.7,30.7,,0.0,5.0,2.86,,7.14,1,40.7
Hugo Mallo,1826,,,61.1,46.9,,0.1,2.51,1.38,,8.67,1,56.95
Paulo Gazzaniga,990,,,38.3,28.9,,0.0,0.0,0.0,,1.36,0,30.26
Lazar Samardzic,490,,,49.4,38.9,,1.11,3.33,2.96,,8.7,1,50.56
David Zima,1314,,,41.4,35.8,,0.21,1.3,0.68,,8.63,1,45.11
Filip Kosti?,2522,,,57.8,37.1,,0.64,1.54,1.04,,8.11,1,46.25
Wout Faes,270,,,38.3,31.7,,0.0,0.33,0.33,,5.0,0,37.03
Adrien Thomasson,2389,,,49.7,38.4,,0.72,2.75,1.58,,9.74,1,49.72
Mattia De Sciglio,1168,,,51.4,41.8,,0.15,1.54,0.85,,8.08,1,50.73
Milan Badelj,2844,,,50.7,39.9,,0.16,2.09,1.39,,12.6,1,53.89
Jan Thielmann,1192,,,30.9,18.6,,0.45,2.65,1.36,,8.41,0,28.37
Guglielmo Vicario,1980,,,41.9,31.1,,0.0,0.0,0.0,,0.86,0,31.96
Joselu,1710,,,24.3,14.7,,1.0,0.16,0.05,,2.37,0,17.12
Zeki Çelik,992,,,54.3,41.3,,0.09,3.09,1.45,,5.82,1,48.57
Paolo Faragò,16,,,40.0,35.0,,5.0,10.0,5.0,,15.0,1,55.0
Sergio Ramos,801,,,92.4,87.2,,0.45,1.69,0.79,,8.88,1,96.87
Harry Souttar,180,,,42.5,35.5,,0.0,2.0,2.0,,5.0,1,42.5
Jean-Philippe Mateta,511,,,18.4,13.0,,1.05,0.7,0.18,,2.81,0,15.99
Aymen Barkok,307,,,37.1,25.6,,0.29,3.53,1.47,,7.35,0,34.42
Unai Simón,3060,,,27.4,20.0,,0.0,0.0,0.0,,4.5,0,24.5
Philippe Coutinho,503,,,58.6,49.1,,1.07,1.43,0.89,,4.64,1,54.63
Hamed Junior Traorè,591,,,37.1,27.9,,0.61,1.67,0.91,,5.3,0,34.11
Gonzalo Escalante,1300,,,28.0,19.3,,0.63,2.08,1.11,,10.7,0,31.11
Randy Ntekja,1462,,,25.4,17.3,,0.49,1.3,0.99,,5.31,0,23.6
Martin Valjent,1598,,,40.1,32.3,,0.0,0.96,0.67,,3.71,0,36.68
Georges Mikautadze,1,,,1.0,0.0,,0.0,0.0,0.0,,0.0,0,0.0
Ousmane Camara,24,,,26.7,23.3,,0.0,3.33,3.33,,6.67,0,33.3
Karim Adeyemi,765,,,32.9,24.2,,0.94,1.18,0.71,,4.94,0,29.85
Fodé Doucouré,154,,,47.1,33.5,,0.0,7.06,3.53,,8.24,1,45.27
Jerdy Schouten,1392,,,51.7,43.5,,0.06,2.0,1.16,,11.5,1,56.16
Dani Olmo,747,,,42.3,31.8,,1.08,1.33,0.84,,6.51,0,39.15
Nélson Semedo,2131,,,48.6,38.3,,0.17,2.49,1.69,,7.47,1,47.46
Ricardo Rodríguez,1373,,,58.8,48.6,,0.13,2.16,1.24,,5.82,1,55.66
Weston McKennie,1369,,,38.0,29.1,,0.33,1.91,1.12,,6.51,0,36.73
Fabio Miretti,829,,,40.1,28.4,,0.54,1.85,0.76,,6.41,0,35.57
Bamba Dieng,194,,,19.5,12.3,,2.27,1.82,1.82,,3.18,0,17.3
Jordan Pickford,1800,,,36.8,22.8,,0.0,0.0,0.0,,0.95,0,23.75
Wesley Moraes,1,,,2.0,2.0,,0.0,0.0,0.0,,0.0,0,2.0
Hannibal Mejbri,68,,,26.3,21.3,,1.25,0.0,0.0,,6.25,0,27.55
