name,minutes,passes_success,passes_total,shots_on_target,duels_won,duels_total,recoveries_high
Antonín Barák,2340,34.2,42.7,0.77,0.65,1.0,7.23
Barbero,21,30.0,65.0,0.0,5.0,5.0,15.0
Danilo Barbosa,90,33.0,41.0,0.0,0.0,0.0,7.0
Barcia,75,10.0,27.5,0.0,0.0,0.0,13.8
Bradley Barcola,263,21.4,30.0,0.69,1.72,2.41,7.93
Melvin Bard,2589,52.7,64.8,0.07,1.6,2.29,9.31
Enis Bardhi,1701,28.1,39.7,0.37,0.79,1.27,6.77
Francesco Bardi,177,17.0,25.0,0.0,0.0,0.0,2.5
Keidi Bare,1481,45.5,52.8,0.06,1.21,2.0,9.94
Nicolò Barella,2913,47.7,57.0,0.37,1.02,2.04,9.51
Kike Barja,865,27.4,39.8,0.63,0.73,1.67,7.19
Ross Barkley,179,52.5,63.5,2.0,0.5,0.5,6.0
Aymen Barkok,160,28.9,39.4,0.56,1.67,3.33,11.7
Ashley Barnes,808,14.4,22.1,0.56,1.11,1.44,5.11
Harvey Barnes,2101,23.9,32.2,1.03,0.56,1.33,5.62
Antonio Barragán,1020,37.8,47.5,0.0,0.88,2.39,5.75
Leandro Barreiro Martins,1789,20.1,27.4,0.45,1.76,3.57,8.69
Ander Barrenetxea,547,22.3,30.7,0.33,2.46,3.44,5.9
Jacob Barrett Laursen,1632,31.1,43.6,0.22,0.88,1.33,9.45
Musa Barrow,2134,30.1,39.6,1.18,0.51,0.68,4.94
Abdourahmane Barry,210,38.3,50.0,0.0,1.3,3.91,12.2
Marc Bartra,1993,41.6,50.1,0.14,0.9,1.99,9.32
Daniele Baselli,150,37.6,51.2,0.0,0.0,1.18,14.1
Daniele Baselli,290,34.7,46.9,0.0,0.94,1.88,10.3
Toma Bai?,982,35.1,41.6,1.01,0.73,1.1,6.51
Toma Bai?,209,32.2,43.9,0.0,1.3,2.17,5.65
Amine Bassi,184,43.0,59.5,0.5,2.0,2.0,7.0
Álvaro Bastida,197,19.1,24.1,0.0,0.91,2.27,5.91
Alessandro Bastoni,2311,62.3,70.0,0.08,1.36,1.95,9.3
Simone Bastoni,2288,35.0,47.6,0.24,1.42,2.36,8.82
Lewis Bate,146,25.6,33.8,0.0,0.0,0.63,10.6
Rodrigo Battaglia,1179,33.2,40.2,0.08,2.29,2.82,11.7
Maximilian Bauer,1690,38.4,46.2,0.05,1.33,1.86,8.4
Oliver Baumann,2970,36.7,46.1,0.0,0.0,0.0,6.7
Timo Baumgartl,2166,38.9,48.4,0.17,1.54,2.9,10.7
Julian Baumgartlinger,88,58.0,66.0,0.0,3.0,3.0,13.0
Christoph Baumgartner,1888,25.8,35.9,0.81,1.24,1.52,7.67
Jon Bautista,45,12.0,16.0,0.0,0.0,6.0,4.0
Mohamed Bayo,2413,14.9,20.3,0.97,0.3,0.52,3.54
Paul Baysse,11,20.0,40.0,0.0,10.0,10.0,10.0
Noah Joel Sarenren Bazee,241,11.5,18.9,1.11,1.48,1.85,6.67
Bebé,867,22.0,35.6,0.73,0.52,1.04,6.88
Ihlas Bebou,2091,19.7,27.2,0.6,0.78,1.08,4.61
Rodrigo Becão,3130,32.0,40.2,0.14,2.07,2.73,7.7
Mads Bech Sørensen,835,41.7,53.8,0.0,0.75,1.29,10.8
Sheraldo Becker,1758,19.7,31.3,0.92,0.46,0.77,7.03
Jan Bednarek,2629,40.6,49.0,0.24,0.72,1.27,11.1
Donny van de Beek,75,31.3,40.0,1.25,3.75,6.25,13.8
Donny van de Beek,483,37.4,44.6,0.19,1.67,2.78,11.7
Asmir Begovi?,270,11.7,28.0,0.0,0.0,0.0,3.67
Valon Behrami,311,14.6,20.0,0.0,0.86,1.71,6.0
Kevin Behrens,499,23.1,33.5,1.27,0.55,0.91,6.55
Youcef Belaïli,825,29.8,42.4,0.65,0.22,0.54,5.0
Vid Belec,1938,16.9,26.9,0.0,0.0,0.0,3.77
Ishak Belfodil,1636,18.2,25.9,0.93,0.33,0.66,3.41
Haris Belkebla,2310,33.0,39.2,0.04,1.25,2.18,9.07
Stefan Bell,2864,36.7,46.5,0.16,1.07,2.01,11.9
Armel Bella Kotchap,1768,29.8,37.9,0.15,1.22,2.04,8.83
Raoul Bellanova,2496,24.5,33.9,0.18,0.61,1.3,5.99
Karim Bellarabi,683,26.2,35.1,1.45,1.18,1.45,5.0
Jean-Ricner Bellegarde,2332,34.6,41.7,0.27,2.01,2.51,9.58
Héctor Bellerín,1979,37.0,48.4,0.05,0.86,2.0,7.55
Jude Bellingham,2790,41.9,49.5,0.39,1.29,2.1,7.87
George Bello,434,28.8,36.9,0.0,1.25,2.08,7.5
Jeanuel Belocian,12,80.0,100.0,0.0,0.0,0.0,10.0
Andrea Belotti,1371,16.7,23.6,1.05,0.46,0.66,3.55
Fran Beltrán,2597,59.8,65.9,0.14,1.7,2.63,11.5
Hatem Ben Arfa,314,39.4,44.9,0.29,0.57,0.86,4.86
Salim Ben Seghir,1,1.0,1.0,0.0,0.0,0.0,0.0
Wissam Ben Yedder,2529,17.5,24.1,1.25,0.5,0.78,3.99
Marco Benassi,158,60.0,72.8,0.0,1.67,1.67,7.78
Marco Benassi,382,28.8,40.0,0.95,0.71,2.14,6.9
Darío Benedetto,54,16.7,18.3,0.0,0.0,0.0,6.67
Darío Benedetto,590,11.7,17.3,0.91,0.0,0.61,2.73
László Bénes,246,52.6,71.1,1.85,1.48,1.85,10.7
Walter Benítez,3330,20.8,27.9,0.0,0.0,0.0,4.57
Iker Benito,118,16.9,22.3,0.77,0.77,0.77,7.69
Loris Benito,61,60.0,75.7,0.0,0.0,1.43,10.0
Pedro Benito,31,13.3,20.0,0.0,0.0,0.0,3.33
Filip Benkovi?,8,50.0,60.0,10.0,0.0,0.0,10.0
Ismaël Bennacer,1525,56.4,64.9,0.36,2.25,3.08,11.1
Keanan Bennetts,50,28.3,38.3,0.0,0.0,1.67,10.0
Saïd Benrahma,2168,25.9,34.5,0.91,0.95,1.45,6.93
Ramy Bensebaini,2020,47.3,57.8,0.31,1.21,2.1,10.8
Nabil Bentaleb,1515,45.7,54.8,0.42,2.08,2.86,9.82
Rodrigo Bentancur,1361,59.9,67.2,0.13,0.99,2.45,8.81
Rodrigo Bentancur,1155,51.6,59.1,0.08,2.11,2.73,9.53
Christian Benteke,1145,16.1,23.6,1.02,0.16,0.63,3.54
Karim Benzema,2593,36.7,43.4,1.63,0.17,0.38,3.13
Alessandro Berardi,90,14.0,30.0,0.0,0.0,0.0,6.0
Domenico Berardi,2819,32.5,45.2,1.28,0.61,0.93,6.61
Yuri Berchiche,1015,45.0,56.7,0.27,1.59,2.57,10.4
Álex Berenguer,2168,23.2,36.0,0.58,1.29,1.95,6.6
Bartosz Bereszy?ski,2946,39.3,50.3,0.03,1.16,2.17,8.9
Jóhann Berg Gu?mundsson,1102,17.9,28.3,0.33,0.74,1.56,7.87
Patrick Berg,307,51.8,61.8,0.0,2.06,3.82,11.8
Mitchell van Bergen,983,13.7,21.1,0.46,0.28,0.55,5.23
Steven Bergwijn,565,23.5,28.3,1.59,0.63,0.79,4.76
Etrit Berisha,900,16.9,32.0,0.0,0.0,0.0,4.9
Valon Berisha,455,25.1,36.3,0.0,1.18,2.35,7.06
Federico Bernardeschi,1475,28.0,36.5,0.49,0.79,0.98,6.52
Paul Bernardoni,1170,20.2,25.9,0.0,0.0,0.0,4.62
Paul Bernardoni,1710,17.5,30.4,0.0,0.0,0.0,6.26
Juan Bernat,958,61.1,66.1,0.09,1.42,2.26,5.19
Dimitry Bertaud,833,23.8,33.5,0.0,0.0,0.0,4.73
Jason Berthomier,1732,59.4,72.7,0.21,1.15,1.51,7.03
Nicolò Bertola,35,22.5,35.0,2.5,5.0,7.5,15.0
Ryan Bertrand,337,41.6,51.6,0.0,1.08,2.43,4.59
Daniel Bessa,768,45.8,56.7,0.24,1.29,1.65,10.9
Beto,2173,11.1,15.6,1.08,0.33,0.66,3.73
Louis Beyer,1384,54.1,60.6,0.0,1.36,3.12,8.31
Bartosz Bialek,178,12.5,22.0,1.0,0.5,0.5,4.5
Giulian Biancone,2292,38.0,50.9,0.31,1.65,2.98,8.51
Ermin Bi?ak?i?,5,30.0,30.0,0.0,0.0,0.0,0.0
Mads Bidstrup,41,16.0,22.0,0.0,4.0,8.0,12.0
Pedro Bigas,1551,47.2,54.5,0.17,1.22,1.57,7.91
El Bilal Touré,1194,18.5,25.0,0.83,0.83,1.35,4.74
Jean-Claude Billong,980,38.4,44.3,0.09,1.28,1.65,8.35
Luis Binks,646,37.6,45.0,0.0,0.69,1.39,10.4
Cristiano Biraghi,3153,59.5,73.9,0.49,0.51,1.06,7.0
Davide Biraschi,930,30.8,41.9,0.0,1.75,3.3,8.45
Tom Bischof,14,25.0,40.0,0.0,0.0,0.0,0.0
Yves Bissouma,2111,45.1,50.3,0.21,2.13,3.11,10.7
Nathan Bitu Mazala,11,100.0,100.0,0.0,0.0,0.0,0.0
Marco Bizot,3420,21.9,31.6,0.0,0.0,0.0,5.71
Bjarki Bjarkason,3,1.0,2.0,0.0,0.0,0.0,0.0
Blanco,31,56.7,60.0,0.0,0.0,0.0,10.0
Ludovic Blas,2961,25.4,32.0,0.97,0.76,1.09,6.35
Danny Blum,346,30.0,47.1,1.32,0.26,0.53,8.95
Myron Boadu,960,12.5,15.5,0.75,0.65,0.93,3.08
Jérôme Boateng,1622,54.4,61.7,0.17,0.83,1.22,8.0
Kevin-Prince Boateng,696,32.9,42.3,0.26,0.52,1.17,10.9
Antonin Bobichon,38,40.0,50.0,0.0,0.0,0.0,12.5
Herbert Bockhorn,850,28.2,38.7,0.21,1.7,2.87,10.1
Jean-Paul Boëtius,1800,34.9,46.9,0.4,1.6,2.5,9.7
Jeremie Boga,670,29.9,36.6,0.68,0.41,0.95,5.41
Jeremie Boga,764,40.4,50.1,0.59,0.71,0.82,7.41
Luka Bogdan,399,20.0,28.0,0.0,0.91,1.36,5.0
Emil Bohinen,699,30.8,37.9,0.38,1.03,1.92,11.2
Quentin Boisgard,958,26.9,37.4,0.75,1.32,1.51,8.68
Charles Boli,32,42.5,52.5,0.0,5.0,7.5,0.0
Willy Boly,900,45.0,54.1,0.1,2.2,2.7,10.2
Giacomo Bonaventura,2266,40.1,48.2,0.56,0.75,1.23,7.34
Federico Bonazzoli,1866,20.0,26.8,0.97,0.87,1.21,5.89
Tarsis Bonga,17,20.0,40.0,5.0,0.0,0.0,5.0
Kevin Bonifazi,1210,41.5,50.2,0.0,1.42,1.87,11.3
Solomon Bonnah,6,40.0,40.0,0.0,0.0,0.0,0.0
Leonardo Bonucci,2005,49.6,57.4,0.13,0.31,0.72,7.26
Sebastiaan Bornauw,2007,45.0,52.2,0.18,0.99,1.43,9.01
Rafael Borré,2378,19.6,26.9,0.91,1.02,1.29,4.32
Sven Botman,2250,53.2,59.7,0.2,1.0,1.44,8.24
Denis Bouanga,2436,20.4,29.6,1.18,1.11,1.85,7.31
Hicham Boudaoui,1621,28.0,36.8,0.28,1.17,1.89,7.11
Ryad Boudebouz,2252,48.9,62.1,0.36,0.76,1.16,7.6
Sofiane Boufal,2330,29.9,39.5,0.93,1.27,1.85,4.71
Farid Boulaya,1526,28.8,43.4,0.35,0.53,0.94,6.82
Yassine Bounou,2790,26.2,34.6,0.0,0.0,0.0,3.97
Ismaëlben Boura,95,54.5,65.5,0.0,0.0,1.82,8.18
Mehdi Bourabia,282,30.0,37.4,0.32,0.65,1.61,9.03
Benjamin Bourigeaud,3193,38.8,53.2,0.59,0.54,1.21,5.61
Redwan Bourles,16,15.0,25.0,0.0,0.0,0.0,0.0
Edoardo Bove,68,38.8,45.0,1.25,1.25,1.25,10.0
Jarrod Bowen,2983,17.7,26.0,1.0,0.79,1.18,5.86
Dedryck Boyata,1898,32.5,37.8,0.09,0.57,0.81,7.77
Lucas Boyé,1713,17.2,23.5,0.79,0.89,1.47,4.63
Domagoj Bradari?,417,47.2,62.8,0.0,1.52,2.39,9.13
Bilal Brahimi,338,18.7,25.8,0.53,0.26,0.79,4.47
Bilal Brahimi,378,30.7,43.8,0.0,0.24,0.24,7.38
Martin Braithwaite,235,17.7,21.9,1.15,0.38,0.38,4.23
Julian Brandt,2078,45.2,57.6,0.65,0.91,1.47,7.71
Jarrad Branthwaite,388,19.8,27.0,0.47,0.47,0.7,8.6
Darko Braanac,2405,25.8,34.3,0.19,1.27,1.69,7.45
Lilian Brassier,2263,40.5,49.7,0.08,1.16,1.91,7.93
Claudio Bravo,1456,20.1,31.3,0.0,0.0,0.0,4.2
Iker Bravo,12,0.0,0.0,0.0,0.0,0.0,0.0
Fabian Bredlow,360,28.8,31.8,0.0,0.0,0.0,5.25
Josip Brekalo,21,65.0,90.0,0.0,0.0,0.0,25.0
Josip Brekalo,2286,33.3,46.4,0.67,0.24,0.47,6.61
Gleison Bremer,2890,37.2,43.7,0.31,0.84,1.59,14.3
Jimmy Briand,226,26.4,30.4,0.8,0.4,1.6,7.6
Yan Brice Eteki,343,26.1,34.2,0.0,1.32,1.84,14.7
Brian Brobbey,131,21.3,25.3,0.0,1.33,2.0,7.33
Armando Broja,1975,11.4,18.4,0.87,0.55,0.78,4.57
Dylan Bronn,2545,33.9,41.0,0.25,1.1,1.8,6.89
John Brooks,2615,49.9,58.3,0.07,0.86,1.62,10.5
Daniel Brosinski,390,36.0,56.3,0.0,0.7,0.93,6.28
Josh Brownhill,2955,27.4,36.3,0.27,1.25,2.23,11.1
