name,minutes_played,goals,assists,passes_total,passes_success,shots_total,shots_on_target,duels_total,duels_won,ball_losses,recoveries
Marco Benassi,158,,,72.8,60.0,,0.0,1.67,1.67,,7.78
Marco Benassi,382,,,40.0,28.8,,0.95,2.14,0.71,,6.9
Darío Benedetto,54,,,18.3,16.7,,0.0,0.0,0.0,,6.67
Darío Benedetto,590,,,17.3,11.7,,0.91,0.61,0.0,,2.73
László Bénes,246,,,71.1,52.6,,1.85,1.85,1.48,,10.7
Walter Benítez,3330,,,27.9,20.8,,0.0,0.0,0.0,,4.57
Iker Benito,118,,,22.3,16.9,,0.77,0.77,0.77,,7.69
Loris Benito,61,,,75.7,60.0,,0.0,1.43,0.0,,10.0
Pedro Benito,31,,,20.0,13.3,,0.0,0.0,0.0,,3.33
Filip Benkovi?,8,,,60.0,50.0,,10.0,0.0,0.0,,10.0
Ismaël Bennacer,1525,,,64.9,56.4,,0.36,3.08,2.25,,11.1
Keanan Bennetts,50,,,38.3,28.3,,0.0,1.67,0.0,,10.0
Saïd Benrahma,2168,,,34.5,25.9,,0.91,1.45,0.95,,6.93
Ramy Bensebaini,2020,,,57.8,47.3,,0.31,2.1,1.21,,10.8
Nabil Bentaleb,1515,,,54.8,45.7,,0.42,2.86,2.08,,9.82
Rodrigo Bentancur,1361,,,67.2,59.9,,0.13,2.45,0.99,,8.81
Rodrigo Bentancur,1155,,,59.1,51.6,,0.08,2.73,2.11,,9.53
Christian Benteke,1145,,,23.6,16.1,,1.02,0.63,0.16,,3.54
Karim Benzema,2593,,,43.4,36.7,,1.63,0.38,0.17,,3.13
Alessandro Berardi,90,,,30.0,14.0,,0.0,0.0,0.0,,6.0
Domenico Berardi,2819,,,45.2,32.5,,1.28,0.93,0.61,,6.61
Yuri Berchiche,1015,,,56.7,45.0,,0.27,2.57,1.59,,10.4
Álex Berenguer,2168,,,36.0,23.2,,0.58,1.95,1.29,,6.6
Bartosz Bereszy?ski,2946,,,50.3,39.3,,0.03,2.17,1.16,,8.9
Jóhann Berg Gu?mundsson,1102,,,28.3,17.9,,0.33,1.56,0.74,,7.87
Patrick Berg,307,,,61.8,51.8,,0.0,3.82,2.06,,11.8
Mitchell van Bergen,983,,,21.1,13.7,,0.46,0.55,0.28,,5.23
Steven Bergwijn,565,,,28.3,23.5,,1.59,0.79,0.63,,4.76
Etrit Berisha,900,,,32.0,16.9,,0.0,0.0,0.0,,4.9
Valon Berisha,455,,,36.3,25.1,,0.0,2.35,1.18,,7.06
Federico Bernardeschi,1475,,,36.5,28.0,,0.49,0.98,0.79,,6.52
Paul Bernardoni,1170,,,25.9,20.2,,0.0,0.0,0.0,,4.62
Paul Bernardoni,1710,,,30.4,17.5,,0.0,0.0,0.0,,6.26
Juan Bernat,958,,,66.1,61.1,,0.09,2.26,1.42,,5.19
Dimitry Bertaud,833,,,33.5,23.8,,0.0,0.0,0.0,,4.73
Jason Berthomier,1732,,,72.7,59.4,,0.21,1.51,1.15,,7.03
Nicolò Bertola,35,,,35.0,22.5,,2.5,7.5,5.0,,15.0
Ryan Bertrand,337,,,51.6,41.6,,0.0,2.43,1.08,,4.59
Daniel Bessa,768,,,56.7,45.8,,0.24,1.65,1.29,,10.9
Beto,2173,,,15.6,11.1,,1.08,0.66,0.33,,3.73
Louis Beyer,1384,,,60.6,54.1,,0.0,3.12,1.36,,8.31
Bartosz Bialek,178,,,22.0,12.5,,1.0,0.5,0.5,,4.5
Giulian Biancone,2292,,,50.9,38.0,,0.31,2.98,1.65,,8.51
Ermin Bi?ak?i?,5,,,30.0,30.0,,0.0,0.0,0.0,,0.0
Mads Bidstrup,41,,,22.0,16.0,,0.0,8.0,4.0,,12.0
Pedro Bigas,1551,,,54.5,47.2,,0.17,1.57,1.22,,7.91
El Bilal Touré,1194,,,25.0,18.5,,0.83,1.35,0.83,,4.74
Jean-Claude Billong,980,,,44.3,38.4,,0.09,1.65,1.28,,8.35
Luis Binks,646,,,45.0,37.6,,0.0,1.39,0.69,,10.4
Cristiano Biraghi,3153,,,73.9,59.5,,0.49,1.06,0.51,,7.0
Davide Biraschi,930,,,41.9,30.8,,0.0,3.3,1.75,,8.45
Tom Bischof,14,,,40.0,25.0,,0.0,0.0,0.0,,0.0
Yves Bissouma,2111,,,50.3,45.1,,0.21,3.11,2.13,,10.7
Nathan Bitu Mazala,11,,,100.0,100.0,,0.0,0.0,0.0,,0.0
Marco Bizot,3420,,,31.6,21.9,,0.0,0.0,0.0,,5.71
Bjarki Bjarkason,3,,,2.0,1.0,,0.0,0.0,0.0,,0.0
Blanco,31,,,60.0,56.7,,0.0,0.0,0.0,,10.0
Ludovic Blas,2961,,,32.0,25.4,,0.97,1.09,0.76,,6.35
Danny Blum,346,,,47.1,30.0,,1.32,0.53,0.26,,8.95
Myron Boadu,960,,,15.5,12.5,,0.75,0.93,0.65,,3.08
Jérôme Boateng,1622,,,61.7,54.4,,0.17,1.22,0.83,,8.0
Kevin-Prince Boateng,696,,,42.3,32.9,,0.26,1.17,0.52,,10.9
Antonin Bobichon,38,,,50.0,40.0,,0.0,0.0,0.0,,12.5
Herbert Bockhorn,850,,,38.7,28.2,,0.21,2.87,1.7,,10.1
Jean-Paul Boëtius,1800,,,46.9,34.9,,0.4,2.5,1.6,,9.7
Jeremie Boga,670,,,36.6,29.9,,0.68,0.95,0.41,,5.41
Jeremie Boga,764,,,50.1,40.4,,0.59,0.82,0.71,,7.41
Luka Bogdan,399,,,28.0,20.0,,0.0,1.36,0.91,,5.0
Emil Bohinen,699,,,37.9,30.8,,0.38,1.92,1.03,,11.2
Quentin Boisgard,958,,,37.4,26.9,,0.75,1.51,1.32,,8.68
Charles Boli,32,,,52.5,42.5,,0.0,7.5,5.0,,0.0
Willy Boly,900,,,54.1,45.0,,0.1,2.7,2.2,,10.2
Giacomo Bonaventura,2266,,,48.2,40.1,,0.56,1.23,0.75,,7.34
Federico Bonazzoli,1866,,,26.8,20.0,,0.97,1.21,0.87,,5.89
Tarsis Bonga,17,,,40.0,20.0,,5.0,0.0,0.0,,5.0
Kevin Bonifazi,1210,,,50.2,41.5,,0.0,1.87,1.42,,11.3
Solomon Bonnah,6,,,40.0,40.0,,0.0,0.0,0.0,,0.0
